Produto;Preco boleto;Preco Pix;Preco parcelado;Maximo parcelas;Data de coleta;Departamento;Site;Fonte;Moeda;Quantidade;Sku
No Break con Regulador de Voltaje CyberPower UPS Serie UT 550VA/275W;1.199,00;;;;21/08/2025;Nobreaks;https://www.officedepot.com.mx/;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;MXN;;
No Break Forza BT-751 750VA Negro;1.399,00;;;;21/08/2025;Nobreaks;https://www.officedepot.com.mx/;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;MXN;;
No Break Koblenz Platinum 9022 / 900 VA / 10 contactos / Negro;3.101,65;;;;21/08/2025;Nobreaks;https://www.officedepot.com.mx/;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;MXN;;
No Break CyberPower LX1100G3 1100VA/660WNegro;4.869,00;;;;21/08/2025;Nobreaks;https://www.officedepot.com.mx/;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;MXN;;
No Break Forza NT-511 / 500 VA / 6 contactos / Negro;1.669,00;;;;21/08/2025;Nobreaks;https://www.officedepot.com.mx/;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;MXN;;
No Break Koblenz Platinum 7522 10 contactos 750VA;2.438,65;;;;21/08/2025;Nobreaks;https://www.officedepot.com.mx/;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;MXN;;
No Break CyberPower CP425SLG / 8 contactos / Negro;1.444,15;;;;21/08/2025;Nobreaks;https://www.officedepot.com.mx/;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;MXN;;
No Break CyberPower OM900ATLCD / 6 contactos / Negro;2.421,65;;;;21/08/2025;Nobreaks;https://www.officedepot.com.mx/;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;MXN;;
No Break Forza NT-751 / 750 VA / 6 contactos / Negro;2.299,00;;;;21/08/2025;Nobreaks;https://www.officedepot.com.mx/;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;MXN;;
No Break Forza NT-1011 / 1000 VA / 6 contactos / Negro;2.949,00;;;;21/08/2025;Nobreaks;https://www.officedepot.com.mx/;https://www.officedepot.com.mx/officedepot/en/Categor%C3%ADa/Todas/computo/no-break-reguladores-y-supresores-de-picos/no-break/c/04-047-160-162;MXN;;
